x U E refE
0.000000000000000000e+00 0.000000000000000000e+00 9.999999999557753760e-01 9.899999999830785269e-01
2.631578947368420907e-02 6.925207756235953697e-04 9.999999999581336008e-01 9.899999999830785269e-01
5.263157894736841813e-02 2.770083102493727922e-03 9.999999999604921586e-01 9.899999999830785269e-01
7.894736842105262720e-02 6.232686980610397873e-03 9.999999999628532699e-01 9.899999999830785269e-01
1.052631578947368363e-01 1.108033240997360544e-02 9.999999999652139371e-01 9.899999999830785269e-01
1.315789473684210453e-01 1.731301939058334932e-02 9.999999999675680540e-01 9.899999999830785269e-01
1.578947368421052544e-01 2.493074792243963125e-02 9.999999999699402675e-01 9.899999999830785269e-01
1.842105263157894635e-01 3.393351800554245123e-02 9.999999999722929411e-01 9.899999999830785269e-01
2.105263157894736725e-01 4.432132963989180580e-02 9.999999999746641555e-01 9.899999999830785269e-01
2.368421052631578816e-01 5.609418282548770535e-02 9.999999999770479153e-01 9.899999999830785269e-01
2.631578947368420907e-01 6.925207756233013601e-02 9.999999999794115801e-01 9.899999999830785269e-01
2.894736842105263275e-01 8.379501385041912553e-02 9.999999999817996699e-01 9.899999999830785269e-01
3.157894736842105088e-01 9.972299168975461148e-02 9.999999999841077125e-01 9.899999999830785269e-01
3.421052631578946901e-01 1.170360110803366216e-01 9.999999999862326794e-01 9.899999999830785269e-01
3.684210526315789269e-01 1.357340720221651698e-01 9.999999999883190105e-01 9.899999999830785269e-01
3.947368421052631637e-01 1.558171745152402698e-01 9.999999999902740022e-01 9.899999999830785269e-01
4.210526315789473450e-01 1.772853185595618386e-01 9.999999999921154181e-01 9.899999999830785269e-01
4.473684210526315264e-01 2.001385041551299315e-01 9.999999999937735362e-01 9.899999999830785269e-01
4.736842105263157632e-01 2.243767313019445486e-01 9.999999999949252816e-01 9.899999999830785269e-01
5.000000000000000000e-01 2.500000000000056621e-01 9.999999999960261787e-01 9.899999999830785269e-01
5.263157894736841813e-01 2.770083102493132721e-01 9.999999999971568299e-01 9.899999999830785269e-01
5.526315789473683626e-01 3.054016620498674062e-01 9.999999999981683541e-01 9.899999999830785269e-01
5.789473684210526550e-01 3.351800554016681755e-01 9.999999999987581045e-01 9.899999999830785269e-01
6.052631578947368363e-01 3.663434903047153024e-01 9.999999999992872368e-01 9.899999999830785269e-01
6.315789473684210176e-01 3.988919667590089535e-01 9.999999999997402078e-01 9.899999999830785269e-01
6.578947368421051989e-01 4.328254847645491288e-01 1.000000000000000000e+00 9.899999999830785269e-01
6.842105263157893802e-01 4.681440443213358282e-01 9.999999999999114042e-01 9.899999999830785269e-01
7.105263157894736725e-01 5.048476454293691074e-01 9.999999999990628607e-01 9.899999999830785269e-01
7.368421052631578538e-01 5.429362880886486886e-01 9.999999999976204590e-01 9.899999999830785269e-01
7.631578947368420351e-01 5.824099722991746830e-01 9.999999999953069763e-01 9.899999999830785269e-01
7.894736842105263275e-01 6.232686980609473126e-01 9.999999999922247751e-01 9.899999999830785269e-01
8.157894736842105088e-01 6.655124653739661333e-01 9.999999999883285584e-01 9.899999999830785269e-01
8.421052631578946901e-01 7.091412742382314782e-01 9.999999999849575882e-01 9.899999999830785269e-01
8.684210526315788714e-01 7.541551246537434583e-01 9.999999999809288109e-01 9.899999999830785269e-01
8.947368421052630527e-01 8.005540166205017405e-01 9.999999999757458458e-01 9.899999999830785269e-01
9.210526315789473450e-01 8.483379501385066579e-01 9.999999999700655007e-01 9.899999999830785269e-01
9.473684210526315264e-01 8.975069252077578774e-01 9.999999999642360526e-01 9.899999999830785269e-01
9.736842105263157077e-01 9.480609418282556211e-01 9.999999999580203580e-01 9.899999999830785269e-01
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 9.899999999830785269e-01
